eci,latitude,longitude,tac,mcc,mnc
3252469762,19.453549,72.81219,75.0,405.0,864.0
3259269122,19.453767,72.812039,75.0,405.0,864.0
3248029697,19.454379,72.811687,75.0,405.0,864.0
3249586178,19.45513,72.811829,75.0,405.0,864.0
3249586177,19.457269,72.811448,75.0,405.0,864.0
3257204737,19.458797,72.811258,75.0,405.0,864.0
3257204736,19.458797,72.811258,75.0,405.0,864.0
3249455106,19.458797,72.811258,75.0,405.0,864.0
3257204738,19.458797,72.811258,75.0,405.0,864.0
3249455104,19.458797,72.811258,75.0,405.0,864.0
3246669825,19.480722,72.816558,282.0,405.0,864.0
3558260736,19.482259,72.81829,75.0,405.0,864.0
3262889986,19.488011,72.824366,75.0,405.0,864.0
3250503680,19.509048,72.844905,75.0,405.0,864.0
3262464001,19.529958,72.850925,75.0,405.0,864.0
3249979392,19.577437,72.821185,75.0,405.0,864.0
3242835968,19.577453,72.820961,75.0,405.0,864.0
3250438145,19.624268,72.791046,75.0,405.0,864.0
3250438144,19.62875,72.789944,75.0,405.0,864.0
3255074817,19.63634,72.788029,75.0,405.0,864.0
3255074816,19.642221,72.786584,75.0,405.0,864.0
3255074832,19.649973,72.78454,75.0,405.0,864.0
3248734208,19.655785,72.783092,279.0,405.0,864.0
3248734224,19.655802,72.782952,279.0,405.0,864.0
3253420032,19.657744,72.782384,279.0,405.0,864.0
3257303057,19.660307,72.781707,279.0,405.0,864.0
3242016768,19.674397,72.778344,279.0,405.0,864.0
3260612609,19.672722,72.778805,279.0,405.0,864.0
3242016770,19.687751,72.774582,279.0,405.0,864.0
3256582146,19.694249,72.772855,279.0,405.0,864.0
3246505985,19.696872,72.771908,279.0,405.0,864.0
3246505986,19.697273,72.771665,279.0,405.0,864.0
